Name;Price;Discounted Price;Discount (%);Quantity;Units of Measurement;Category;Subcategory
farfalle biologiche;1.15;0.75;34.78;500;g;pasta e riso;pasta di semola corta
mezze penne rigate n°119;1.15;0.39;66.09;500;g;pasta e riso;pasta di semola corta
la casa del grano tradizionali is malloreddus fini;1.59;1.0;37.11;500;g;pasta e riso;pasta di semola corta
rummo mezzi rigatoni n° 51;1.15;0.69;40.0;500;g;pasta e riso;pasta di semola corta
garofalo fusilli n. 63;1.49;0.79;46.98;500;g;pasta e riso;pasta di semola corta
integrale penne rigate;1.19;1.09;8.4;500;g;pasta e riso;pasta di semola corta
tradizioni tortellini ricotta e spinaci;2.5;1.75;30.0;230;g;pasta e riso;pasta di semola corta
tradizioni ravioli brasato;2.49;1.49;40.16;230;g;pasta e riso;pasta di semola corta
pizzoccheri della valtellina i.g.p.;1.59;1.25;21.38;500;g;pasta e riso;pasta di semola corta
paccheri pasta di gragnano i.g.p.;1.19;1.0;15.97;500;g;pasta e riso;pasta di semola corta
fusilloni pasta di gragnano i.g.p.;1.19;1.0;15.97;500;g;pasta e riso;pasta di semola corta
calamari pasta di gragnano i.g.p.;1.19;1.0;15.97;500;g;pasta e riso;pasta di semola corta
penne rigate 70;1.0;0.76;24.0;1000;g;pasta e riso;pasta di semola corta
napellini rigati 42;0.47;0.39;17.02;500;g;pasta e riso;pasta di semola corta
maniche 49;0.47;0.39;17.02;500;g;pasta e riso;pasta di semola corta
linguine 13;0.47;0.39;17.02;500;g;pasta e riso;pasta di semola corta
fusilli 64;1.0;0.76;24.0;1000;g;pasta e riso;pasta di semola corta
elicoidali 47;1.0;0.76;24.0;1000;g;pasta e riso;pasta di semola corta
gnocchetti sardi n°35;0.65;0.49;24.62;500;g;pasta e riso;pasta di semola corta
de cecco farfalle n° 93;1.99;1.06;46.73;500;g;pasta e riso;pasta di semola corta
voiello pipe rigate n° 135;1.3;0.65;50.0;500;g;pasta e riso;pasta di semola corta
fiberpasta penne;3.16;3.0;5.06;500;g;pasta e riso;pasta di semola corta
rummo elicoidali n° 49;1.0;0.94;6.0;500;g;pasta e riso;pasta di semola corta
barilla pennette rigate n.72;0.99;0.45;54.55;500;g;pasta e riso;pasta di semola corta
rummo penne rigate n° 66;1.49;0.79;46.98;500;g;pasta e riso;pasta di semola corta
de cecco mezze penne rigate n° 141;1.69;1.04;38.46;500;g;pasta e riso;pasta di semola corta
trofie di semola fresche;1.0;0.99;1.0;500;g;pasta e riso;pasta di semola fresca
orecchiette di semola fresche;1.19;0.99;16.81;500;g;pasta e riso;pasta di semola fresca
fusilli di semola freschi;1.19;0.99;16.81;500;g;pasta e riso;pasta di semola fresca
trofie;2.49;2.29;8.03;500;g;pasta e riso;pasta di semola fresca
gourmet pizzoccheri;1.09;0.99;9.17;250;g;pasta e riso;pasta di semola fresca
nonna mery, trofie liguri;1.49;;;250;g;pasta e riso;pasta di semola fresca
esselunga equilibrio trofie integrali;2.29;;;500;g;pasta e riso;pasta di semola fresca
maffei, fusilli integrali;1.99;1.29;35.18;500;g;pasta e riso;pasta di semola fresca
maffei, troccoli;1.23;;;250;g;pasta e riso;pasta di semola fresca
esselunga, trofie;2.19;1.53;30.14;500;g;pasta e riso;pasta di semola fresca
esselunga, strozzapreti;2.19;1.53;30.14;500;g;pasta e riso;pasta di semola fresca
