Name;Full Price;Current Price;Quantity;Category;Subcategory
Esselunga Top, Tagliatelle;;1,49;250 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, Pappardelle rustiche;1,49;1,19;250 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, Pappardelle;1,49;1,19;250 g;Pasta e Riso;Pasta all'uovo fresca
Esselunga Top, Lasagne;1,49;0,99;250 g;Pasta e Riso;Pasta all'uovo fresca
Spaghetti alla Chitarra;;0,99;500 g;Pasta e Riso;Pasta all'uovo fresca
Tagliolini, Pasta Fresca all'Uovo Sfoglia Rustica;0,99;0,79;500 g;Pasta e Riso;Pasta all'uovo fresca
Pappardelle Uovo;0,99;0,79;500 g;Pasta e Riso;Pasta all'uovo fresca
Tagliatelle Fresche all'Uovo;;0,89;250 g;Pasta e Riso;Pasta all'uovo fresca
Pappardelle Fresche all'Uovo;;0,89;250 g;Pasta e Riso;Pasta all'uovo fresca
Tagliolini Freschi all'Uovo;;0,89;250 g;Pasta e Riso;Pasta all'uovo fresca
Tagliolini Freschi 0,250 Kg;;1,00;250 g;Pasta e Riso;Pasta all'uovo fresca
Sfogliagrezza Pappardelle;1,49;0,89;250 g;Pasta e Riso;Pasta all'uovo fresca
Tagliolini Freschi all'Uovo;0,99;0,79;500 g;Pasta e Riso;Pasta all'uovo fresca
Tagliatelle Fresche all'Uovo;0,99;0,79;500 g;Pasta e Riso;Pasta all'uovo fresca
Pastificio Valleoro Tagliatelle;0,99;0,79;400 g;Pasta e Riso;Pasta all'uovo fresca
Pastificio Valleoro Spaghetti Alla Chitarra;0,99;0,79;400 g;Pasta e Riso;Pasta all'uovo fresca
TAGLIATELLE ALL'UOVO;2,59;0,75;250 g;Pasta e Riso;Pasta all'uovo secca
FETTUCCINE ALL'UOVO;1,39;0,75;250 g;Pasta e Riso;Pasta all'uovo secca
Barilla, Emiliane Fettuccine n.175 pasta all'uovo;2,19;1,08;250 g;Pasta e Riso;Pasta all'uovo secca
Barilla - Emiliane, Pappardelle Ricce All'Uovo;1,79;0,71;250 g;Pasta e Riso;Pasta all'uovo secca
PAPPARDELLE ALL'UOVO;1,26;0,59;250 g;Pasta e Riso;Pasta all'uovo secca
Fillo Rettangolare;2,40;1,75;300 g;Pasta e Riso;Pasta all'uovo secca
Tagliatelle Di Campofilone Pasta All'uovo;2,72;2,65;All'uov...;Pasta e Riso;Pasta all'uovo secca
Maccheroni Al Pettine Pasta All'uovo;2,29;1,71;50 ...;Pasta e Riso;Pasta all'uovo secca
Maccheroni Al Pettine Paglia E Fieno Pasta All'uov...;2,29;2,18;Pa...;Pasta e Riso;Pasta all'uovo secca
Fettuccine Di Campofilone Pasta All'uovo;2,72;2,65;All'uov...;Pasta e Riso;Pasta all'uovo secca
Tripolini 181 Pasta All'uovo;0,55;0,49;250 g;Pasta e Riso;Pasta all'uovo secca
Taglioline 295 Pasta All'uovo;0,89;0,88;250 g;Pasta e Riso;Pasta all'uovo secca
Tagliatelle Larghe 299 Pasta All'uovo;0,89;0,88;250 g;Pasta e Riso;Pasta all'uovo secca
Tagliatelle 298 Pasta All'uovo;0,89;0,88;250 g;Pasta e Riso;Pasta all'uovo secca
Stelline 120 Pasta All'uovo;0,55;0,49;250 g;Pasta e Riso;Pasta all'uovo secca
Sorprese 183 Pasta All'uovo;0,55;0,49;250 g;Pasta e Riso;Pasta all'uovo secca
Risina 117 Pasta All'uovo;0,55;0,49;250 g;Pasta e Riso;Pasta all'uovo secca
Quadretti 188 Pasta All'uovo;0,55;0,49;250 g;Pasta e Riso;Pasta all'uovo secca
Pappardelle 402 Pasta All'uovo;0,89;0,88;250 g;Pasta e Riso;Pasta all'uovo secca
Lasagne Gialle 204 Pasta All'uovo;1,69;1,30;500 g;Pasta e Riso;Pasta all'uovo secca
Filini 122 Pasta All'uovo;0,55;0,49;250 g;Pasta e Riso;Pasta all'uovo secca
Luciana Mosconi, Tagliatelline Caserecce pasta all...;2,49;1,79;500 g;Pasta e Riso;Pasta all'uovo secca
Luciana Mosconi, Tagliatelle pasta all'uovo;2,49;1,79;500 g;Pasta e Riso;Pasta all'uovo secca
